"","commarea","year","crash_type","crashes","injuries_total","injuries_fatal","injuries_incapacitating","injuries_non_incapacitating","injuries_reported_not_evident"
"89","ASHBURN","2011","PEDALCYCLIST",7,8,0,0,2,6
"90","ASHBURN","2011","PEDESTRIAN",22,23,1,3,10,10
"91","ASHBURN","2011","Vehicle/Other",840,269,1,13,98,158
"92","ASHBURN","2012","PEDALCYCLIST",6,5,0,1,2,2
"93","ASHBURN","2012","PEDESTRIAN",26,26,0,2,13,11
"94","ASHBURN","2012","Vehicle/Other",776,179,1,11,70,98
"95","ASHBURN","2013","PEDALCYCLIST",4,4,0,0,3,1
"96","ASHBURN","2013","PEDESTRIAN",24,22,0,3,13,6
"97","ASHBURN","2013","Vehicle/Other",807,234,2,15,121,98
"98","ASHBURN","2014","PEDALCYCLIST",4,4,0,0,4,0
"99","ASHBURN","2014","PEDESTRIAN",9,11,0,3,7,1
"100","ASHBURN","2014","Vehicle/Other",857,200,2,29,92,79
"101","ASHBURN","2015","PEDALCYCLIST",6,6,0,0,5,1
"102","ASHBURN","2015","PEDESTRIAN",24,25,0,4,14,7
"103","ASHBURN","2015","Vehicle/Other",935,185,0,19,104,62
"104","ASHBURN","2016","PEDALCYCLIST",6,4,0,0,2,2
"105","ASHBURN","2016","PEDESTRIAN",20,19,0,3,7,9
"106","ASHBURN","2016","Vehicle/Other",1004,185,2,18,102,65
"107","ASHBURN","2017","PEDALCYCLIST",5,5,0,0,3,2
"108","ASHBURN","2017","PEDESTRIAN",35,34,1,7,21,6
"109","ASHBURN","2017","Vehicle/Other",1015,299,0,36,183,80
"110","AUBURN GRESHAM","2009","PEDALCYCLIST",12,11,1,0,8,3
"111","AUBURN GRESHAM","2009","PEDESTRIAN",66,66,0,9,36,21
"112","AUBURN GRESHAM","2009","Vehicle/Other",1358,486,2,26,309,151
"113","AUBURN GRESHAM","2010","PEDALCYCLIST",8,9,0,3,3,3
"114","AUBURN GRESHAM","2010","PEDESTRIAN",64,69,0,8,42,19
"115","AUBURN GRESHAM","2010","Vehicle/Other",1343,457,1,35,269,153
"116","AUBURN GRESHAM","2011","PEDALCYCLIST",8,8,0,0,2,6
"117","AUBURN GRESHAM","2011","PEDESTRIAN",61,65,0,16,31,18
"118","AUBURN GRESHAM","2011","Vehicle/Other",1208,398,3,18,270,110
"119","AUBURN GRESHAM","2012","PEDALCYCLIST",12,16,0,7,7,2
"120","AUBURN GRESHAM","2012","PEDESTRIAN",60,62,1,9,31,22
"121","AUBURN GRESHAM","2012","Vehicle/Other",1188,441,0,23,245,173
"122","AUBURN GRESHAM","2013","PEDALCYCLIST",11,11,0,1,8,2
"123","AUBURN GRESHAM","2013","PEDESTRIAN",40,38,1,6,24,8
"124","AUBURN GRESHAM","2013","Vehicle/Other",1156,387,1,26,210,151
"125","AUBURN GRESHAM","2014","PEDALCYCLIST",14,15,0,1,8,6
"126","AUBURN GRESHAM","2014","PEDESTRIAN",66,63,1,11,38,14
"127","AUBURN GRESHAM","2014","Vehicle/Other",1308,373,1,43,206,124
"128","AUBURN GRESHAM","2015","PEDALCYCLIST",15,15,0,0,10,5
"129","AUBURN GRESHAM","2015","PEDESTRIAN",56,56,1,13,36,7
"130","AUBURN GRESHAM","2015","Vehicle/Other",1442,457,1,30,253,174
"131","AUBURN GRESHAM","2016","PEDALCYCLIST",16,15,0,3,3,9
"132","AUBURN GRESHAM","2016","PEDESTRIAN",56,53,1,6,26,21
"133","AUBURN GRESHAM","2016","Vehicle/Other",1475,320,2,18,159,143
"134","AUBURN GRESHAM","2017","PEDALCYCLIST",11,11,0,0,7,4
"135","AUBURN GRESHAM","2017","PEDESTRIAN",54,53,0,9,29,15
"136","AUBURN GRESHAM","2017","Vehicle/Other",1474,409,2,35,193,181
"137","AUSTIN","2009","PEDALCYCLIST",25,25,0,3,13,9
"138","AUSTIN","2009","PEDESTRIAN",145,151,1,23,71,57
"139","AUSTIN","2009","Vehicle/Other",3197,747,7,46,373,328
"140","AUSTIN","2010","PEDALCYCLIST",42,41,1,5,21,15
"141","AUSTIN","2010","PEDESTRIAN",153,157,2,17,72,68
"142","AUSTIN","2010","Vehicle/Other",3104,771,4,75,368,328
"143","AUSTIN","2011","PEDALCYCLIST",36,35,0,2,20,13
"144","AUSTIN","2011","PEDESTRIAN",152,155,2,17,75,63
"145","AUSTIN","2011","Vehicle/Other",3036,788,6,59,417,312
"146","AUSTIN","2012","PEDALCYCLIST",35,34,0,3,14,17
"147","AUSTIN","2012","PEDESTRIAN",147,146,1,16,85,45
"148","AUSTIN","2012","Vehicle/Other",3001,762,7,79,389,294
"149","AUSTIN","2013","PEDALCYCLIST",31,27,0,0,20,7
"150","AUSTIN","2013","PEDESTRIAN",154,153,0,22,89,42
"151","AUSTIN","2013","Vehicle/Other",3004,664,2,53,293,318
"152","AUSTIN","2014","PEDALCYCLIST",38,37,0,5,24,8
"153","AUSTIN","2014","PEDESTRIAN",118,115,3,26,64,25
"154","AUSTIN","2014","Vehicle/Other",2995,725,2,64,358,303
"155","AUSTIN","2015","PEDALCYCLIST",45,42,1,8,28,6
"156","AUSTIN","2015","PEDESTRIAN",118,123,1,35,55,33
"157","AUSTIN","2015","Vehicle/Other",3426,821,0,86,391,344
"158","AUSTIN","2016","PEDALCYCLIST",33,33,0,1,13,19
"159","AUSTIN","2016","PEDESTRIAN",107,106,2,15,48,43
"160","AUSTIN","2016","Vehicle/Other",3878,851,2,81,454,316
"161","AUSTIN","2017","PEDALCYCLIST",41,40,1,7,21,12
"162","AUSTIN","2017","PEDESTRIAN",125,127,3,31,76,20
"163","AUSTIN","2017","Vehicle/Other",4085,1003,3,86,494,423
"164","AVALON PARK","2009","PEDALCYCLIST",3,3,0,0,1,2
"165","AVALON PARK","2009","PEDESTRIAN",8,8,0,2,4,2
"166","AVALON PARK","2009","Vehicle/Other",386,127,2,16,74,37
"167","AVALON PARK","2010","PEDALCYCLIST",1,1,0,1,0,0
"168","AVALON PARK","2010","PEDESTRIAN",11,12,0,3,7,2
"169","AVALON PARK","2010","Vehicle/Other",365,110,0,8,54,48
"170","AVALON PARK","2011","PEDALCYCLIST",2,2,0,0,2,0
"171","AVALON PARK","2011","PEDESTRIAN",12,12,0,1,9,2
"172","AVALON PARK","2011","Vehicle/Other",364,136,0,9,77,50
"173","AVALON PARK","2012","PEDALCYCLIST",4,4,0,1,3,0
"174","AVALON PARK","2012","PEDESTRIAN",7,6,1,1,4,1
"175","AVALON PARK","2012","Vehicle/Other",351,91,0,7,57,27
"176","AVALON PARK","2013","PEDALCYCLIST",3,3,0,0,3,0
"177","AVALON PARK","2013","PEDESTRIAN",12,11,0,3,6,2
"178","AVALON PARK","2013","Vehicle/Other",356,129,4,6,82,41
"179","AVALON PARK","2014","PEDALCYCLIST",7,7,0,1,2,4
"180","AVALON PARK","2014","PEDESTRIAN",8,9,0,0,6,3
"181","AVALON PARK","2014","Vehicle/Other",358,115,1,12,59,44
"182","AVALON PARK","2015","PEDALCYCLIST",4,4,0,1,3,0
"183","AVALON PARK","2015","PEDESTRIAN",6,6,0,2,2,2
"184","AVALON PARK","2015","Vehicle/Other",415,146,0,17,70,59
"185","AVALON PARK","2016","PEDALCYCLIST",2,2,0,0,1,1
"186","AVALON PARK","2016","PEDESTRIAN",12,11,2,3,3,5
"187","AVALON PARK","2016","Vehicle/Other",411,89,1,7,59,23
"188","AVALON PARK","2017","PEDALCYCLIST",3,3,0,1,2,0
"189","AVALON PARK","2017","PEDESTRIAN",16,16,2,3,8,5
"190","AVALON PARK","2017","Vehicle/Other",435,140,2,4,67,69
"191","AVONDALE","2009","PEDALCYCLIST",25,23,0,2,10,11
"192","AVONDALE","2009","PEDESTRIAN",39,43,0,9,20,14
"193","AVONDALE","2009","Vehicle/Other",1401,219,1,17,107,95
"194","AVONDALE","2010","PEDALCYCLIST",40,40,0,3,25,12
"195","AVONDALE","2010","PEDESTRIAN",43,43,0,7,18,18
"196","AVONDALE","2010","Vehicle/Other",1395,260,1,16,125,119
"197","AVONDALE","2011","PEDALCYCLIST",29,28,0,3,17,8
"198","AVONDALE","2011","PEDESTRIAN",36,39,0,2,24,13
"199","AVONDALE","2011","Vehicle/Other",1464,255,0,26,122,107
"200","AVONDALE","2012","PEDALCYCLIST",27,27,0,5,15,7
"201","AVONDALE","2012","PEDESTRIAN",39,39,0,6,18,15
"202","AVONDALE","2012","Vehicle/Other",1389,275,4,25,123,127
"203","AVONDALE","2013","PEDALCYCLIST",42,39,0,0,27,12
"204","AVONDALE","2013","PEDESTRIAN",40,42,1,10,19,13
"205","AVONDALE","2013","Vehicle/Other",1380,239,1,29,113,97
"206","AVONDALE","2014","PEDALCYCLIST",39,41,0,2,28,11
"207","AVONDALE","2014","PEDESTRIAN",27,24,0,3,17,4
"208","AVONDALE","2014","Vehicle/Other",1410,192,0,25,105,62
"209","AVONDALE","2015","PEDALCYCLIST",32,30,1,2,17,11
"210","AVONDALE","2015","PEDESTRIAN",31,31,1,8,14,9
"211","AVONDALE","2015","Vehicle/Other",1461,219,1,19,104,96
"212","AVONDALE","2016","PEDALCYCLIST",38,36,1,2,16,18
"213","AVONDALE","2016","PEDESTRIAN",28,26,1,4,8,14
"214","AVONDALE","2016","Vehicle/Other",1615,187,1,23,96,68
"215","AVONDALE","2017","PEDALCYCLIST",20,17,0,0,9,8
"216","AVONDALE","2017","PEDESTRIAN",31,30,1,7,14,9
"217","AVONDALE","2017","Vehicle/Other",1517,229,1,23,103,103
"218","BELMONT CRAGIN","2009","PEDALCYCLIST",30,28,0,4,10,14
"219","BELMONT CRAGIN","2009","PEDESTRIAN",85,90,1,15,43,32
"220","BELMONT CRAGIN","2009","Vehicle/Other",2113,356,0,41,152,163
"221","BELMONT CRAGIN","2010","PEDALCYCLIST",42,41,0,5,17,19
"222","BELMONT CRAGIN","2010","PEDESTRIAN",74,72,0,13,32,27
"223","BELMONT CRAGIN","2010","Vehicle/Other",1882,299,4,40,140,119
"224","BELMONT CRAGIN","2011","PEDALCYCLIST",29,28,0,1,15,12
"225","BELMONT CRAGIN","2011","PEDESTRIAN",68,72,1,16,35,21
"226","BELMONT CRAGIN","2011","Vehicle/Other",1694,310,0,34,157,119
"227","BELMONT CRAGIN","2012","PEDALCYCLIST",35,30,0,3,12,15
"228","BELMONT CRAGIN","2012","PEDESTRIAN",66,62,1,6,37,19
"229","BELMONT CRAGIN","2012","Vehicle/Other",1738,304,2,34,146,124
"230","BELMONT CRAGIN","2013","PEDALCYCLIST",32,30,0,3,18,9
"231","BELMONT CRAGIN","2013","PEDESTRIAN",66,69,1,11,39,19
"232","BELMONT CRAGIN","2013","Vehicle/Other",1845,295,0,30,114,151
"233","BELMONT CRAGIN","2014","PEDALCYCLIST",35,32,0,5,18,9
"234","BELMONT CRAGIN","2014","PEDESTRIAN",63,60,1,8,31,21
"235","BELMONT CRAGIN","2014","Vehicle/Other",1810,281,1,42,135,104
"236","BELMONT CRAGIN","2015","PEDALCYCLIST",39,39,0,10,17,12
"237","BELMONT CRAGIN","2015","PEDESTRIAN",73,63,2,14,30,19
"238","BELMONT CRAGIN","2015","Vehicle/Other",1903,251,0,33,119,99
"239","BELMONT CRAGIN","2016","PEDALCYCLIST",43,43,0,5,20,18
"240","BELMONT CRAGIN","2016","PEDESTRIAN",54,59,0,3,25,31
"241","BELMONT CRAGIN","2016","Vehicle/Other",2169,312,1,52,114,146
"242","BELMONT CRAGIN","2017","PEDALCYCLIST",40,39,0,3,28,8
"243","BELMONT CRAGIN","2017","PEDESTRIAN",56,58,0,14,23,21
"244","BELMONT CRAGIN","2017","Vehicle/Other",1885,357,3,48,184,125
"245","BELMONT CRAGIN",NA,"Vehicle/Other",1,0,0,0,0,0
"246","BEVERLY","2009","PEDALCYCLIST",8,8,0,1,7,0
"247","BEVERLY","2009","PEDESTRIAN",12,12,0,2,3,7
"248","BEVERLY","2009","Vehicle/Other",469,114,1,12,38,64
"249","BEVERLY","2010","PEDALCYCLIST",5,5,0,0,2,3
"250","BEVERLY","2010","PEDESTRIAN",9,10,0,1,4,5
"251","BEVERLY","2010","Vehicle/Other",443,119,0,6,58,55
"252","BEVERLY","2011","PEDALCYCLIST",4,4,0,0,3,1
"253","BEVERLY","2011","PEDESTRIAN",9,9,0,2,3,4
"254","BEVERLY","2011","Vehicle/Other",464,81,1,6,31,44
"255","BEVERLY","2012","PEDALCYCLIST",4,4,0,0,2,2
"256","BEVERLY","2012","PEDESTRIAN",6,7,0,2,2,3
"257","BEVERLY","2012","Vehicle/Other",417,102,0,5,39,58
"258","BEVERLY","2013","PEDALCYCLIST",4,4,0,0,3,1
"259","BEVERLY","2013","PEDESTRIAN",8,8,0,1,2,5
"260","BEVERLY","2013","Vehicle/Other",480,121,0,2,68,51
"261","BEVERLY","2014","PEDALCYCLIST",6,5,0,0,3,2
"262","BEVERLY","2014","PEDESTRIAN",6,6,0,1,2,3
"263","BEVERLY","2014","Vehicle/Other",476,106,0,14,50,42
"264","BEVERLY","2015","PEDALCYCLIST",1,1,0,0,1,0
"265","BEVERLY","2015","PEDESTRIAN",7,6,0,1,3,2
"266","BEVERLY","2015","Vehicle/Other",429,85,0,16,33,36
"267","BEVERLY","2016","PEDALCYCLIST",4,4,0,0,4,0
"268","BEVERLY","2016","PEDESTRIAN",7,7,0,1,3,3
"269","BEVERLY","2016","Vehicle/Other",466,87,1,8,37,42
"270","BEVERLY","2017","PEDALCYCLIST",5,5,0,0,4,1
"271","BEVERLY","2017","PEDESTRIAN",8,7,0,2,4,1
"272","BEVERLY","2017","Vehicle/Other",522,100,0,10,45,45
"273","BRIDGEPORT","2009","PEDALCYCLIST",12,10,1,0,3,7
"274","BRIDGEPORT","2009","PEDESTRIAN",15,15,0,2,6,7
"275","BRIDGEPORT","2009","Vehicle/Other",593,113,1,14,53,46
"276","BRIDGEPORT","2010","PEDALCYCLIST",14,14,0,1,7,6
"277","BRIDGEPORT","2010","PEDESTRIAN",24,24,0,2,10,12
"278","BRIDGEPORT","2010","Vehicle/Other",601,106,3,9,66,31
"279","BRIDGEPORT","2011","PEDALCYCLIST",14,14,0,2,9,3
"280","BRIDGEPORT","2011","PEDESTRIAN",18,17,1,4,11,2
"281","BRIDGEPORT","2011","Vehicle/Other",594,73,0,8,38,27
"282","BRIDGEPORT","2012","PEDALCYCLIST",18,17,1,1,10,6
"283","BRIDGEPORT","2012","PEDESTRIAN",19,20,0,2,9,9
"284","BRIDGEPORT","2012","Vehicle/Other",557,102,1,10,69,23
"285","BRIDGEPORT","2013","PEDALCYCLIST",12,12,0,2,8,2
"286","BRIDGEPORT","2013","PEDESTRIAN",18,20,1,2,8,10
"287","BRIDGEPORT","2013","Vehicle/Other",646,127,0,17,75,35
"288","BRIDGEPORT","2014","PEDALCYCLIST",20,18,2,1,11,6
"289","BRIDGEPORT","2014","PEDESTRIAN",17,17,0,1,14,2
"290","BRIDGEPORT","2014","Vehicle/Other",696,99,1,9,54,36
"291","BRIDGEPORT","2015","PEDALCYCLIST",16,17,0,1,9,7
"292","BRIDGEPORT","2015","PEDESTRIAN",17,18,0,5,8,5
"293","BRIDGEPORT","2015","Vehicle/Other",765,136,1,20,69,47
"294","BRIDGEPORT","2016","PEDALCYCLIST",17,18,0,3,8,7
"295","BRIDGEPORT","2016","PEDESTRIAN",29,30,0,2,17,11
"296","BRIDGEPORT","2016","Vehicle/Other",799,98,0,7,68,23
"297","BRIDGEPORT","2017","PEDALCYCLIST",12,12,0,1,9,2
"298","BRIDGEPORT","2017","PEDESTRIAN",18,18,0,5,8,5
"299","BRIDGEPORT","2017","Vehicle/Other",744,112,2,16,73,23
"300","BRIGHTON PARK","2009","PEDALCYCLIST",16,17,0,5,7,5
"301","BRIGHTON PARK","2009","PEDESTRIAN",37,37,0,8,17,12
"302","BRIGHTON PARK","2009","Vehicle/Other",1038,199,1,22,102,75
"303","BRIGHTON PARK","2010","PEDALCYCLIST",11,11,0,0,4,7
"304","BRIGHTON PARK","2010","PEDESTRIAN",31,32,0,4,21,7
"305","BRIGHTON PARK","2010","Vehicle/Other",949,177,5,24,87,66
"306","BRIGHTON PARK","2011","PEDALCYCLIST",12,13,0,1,9,3
"307","BRIGHTON PARK","2011","PEDESTRIAN",33,32,3,3,22,7
"308","BRIGHTON PARK","2011","Vehicle/Other",973,227,1,31,109,87
"309","BRIGHTON PARK","2012","PEDALCYCLIST",15,17,0,1,10,6
"310","BRIGHTON PARK","2012","PEDESTRIAN",21,20,2,4,8,8
"311","BRIGHTON PARK","2012","Vehicle/Other",1014,176,1,13,93,70
"312","BRIGHTON PARK","2013","PEDALCYCLIST",15,15,0,4,9,2
"313","BRIGHTON PARK","2013","PEDESTRIAN",20,21,2,3,13,5
"314","BRIGHTON PARK","2013","Vehicle/Other",998,193,4,22,101,70
"315","BRIGHTON PARK","2014","PEDALCYCLIST",15,14,0,1,12,1
"316","BRIGHTON PARK","2014","PEDESTRIAN",35,36,0,9,17,10
"317","BRIGHTON PARK","2014","Vehicle/Other",1096,172,1,18,87,67
"318","BRIGHTON PARK","2015","PEDALCYCLIST",13,12,0,2,8,2
"319","BRIGHTON PARK","2015","PEDESTRIAN",22,20,0,5,14,1
"320","BRIGHTON PARK","2015","Vehicle/Other",1124,182,1,21,89,72
"321","BRIGHTON PARK","2016","PEDALCYCLIST",18,18,0,1,12,5
"322","BRIGHTON PARK","2016","PEDESTRIAN",37,36,1,5,16,15
"323","BRIGHTON PARK","2016","Vehicle/Other",1240,154,1,20,79,55
"324","BRIGHTON PARK","2017","PEDALCYCLIST",17,18,0,2,10,6
"325","BRIGHTON PARK","2017","PEDESTRIAN",34,38,0,10,20,8
"326","BRIGHTON PARK","2017","Vehicle/Other",1260,244,2,24,140,80
"327","BURNSIDE","2009","PEDALCYCLIST",1,1,0,0,1,0
"328","BURNSIDE","2009","Vehicle/Other",74,51,1,4,29,18
"329","BURNSIDE","2010","PEDALCYCLIST",1,1,0,1,0,0
"330","BURNSIDE","2010","PEDESTRIAN",4,4,0,1,3,0
"331","BURNSIDE","2010","Vehicle/Other",79,24,0,0,10,14
"332","BURNSIDE","2011","PEDESTRIAN",4,4,0,2,1,1
"333","BURNSIDE","2011","Vehicle/Other",60,19,0,0,5,14
"334","BURNSIDE","2012","PEDALCYCLIST",1,1,0,0,0,1
"335","BURNSIDE","2012","PEDESTRIAN",5,5,0,0,2,3
"336","BURNSIDE","2012","Vehicle/Other",74,29,0,1,11,17
"337","BURNSIDE","2013","PEDALCYCLIST",2,2,0,1,1,0
"338","BURNSIDE","2013","PEDESTRIAN",6,6,0,1,5,0
"339","BURNSIDE","2013","Vehicle/Other",64,12,0,2,8,2
"340","BURNSIDE","2014","PEDESTRIAN",4,6,0,0,5,1
"341","BURNSIDE","2014","Vehicle/Other",95,21,0,2,9,10
"342","BURNSIDE","2015","Vehicle/Other",53,9,0,1,6,2
"343","BURNSIDE","2016","PEDESTRIAN",3,3,0,0,3,0
"344","BURNSIDE","2016","Vehicle/Other",70,11,0,1,8,2
"345","BURNSIDE","2017","PEDESTRIAN",2,2,0,0,2,0
"346","BURNSIDE","2017","Vehicle/Other",78,23,0,1,13,9
"347","CALUMET HEIGHTS","2009","PEDALCYCLIST",2,2,0,0,2,0
"348","CALUMET HEIGHTS","2009","PEDESTRIAN",14,14,0,0,9,5
"349","CALUMET HEIGHTS","2009","Vehicle/Other",441,119,0,10,64,45
"350","CALUMET HEIGHTS","2010","PEDALCYCLIST",3,2,0,0,2,0
"351","CALUMET HEIGHTS","2010","PEDESTRIAN",18,19,1,4,10,5
"352","CALUMET HEIGHTS","2010","Vehicle/Other",441,132,1,20,57,55
"353","CALUMET HEIGHTS","2011","PEDALCYCLIST",1,1,0,0,1,0
"354","CALUMET HEIGHTS","2011","PEDESTRIAN",10,12,0,1,7,4
"355","CALUMET HEIGHTS","2011","Vehicle/Other",397,109,0,6,50,53
"356","CALUMET HEIGHTS","2012","PEDALCYCLIST",3,3,0,0,2,1
"357","CALUMET HEIGHTS","2012","PEDESTRIAN",15,16,0,2,8,6
"358","CALUMET HEIGHTS","2012","Vehicle/Other",372,111,0,7,57,47
"359","CALUMET HEIGHTS","2013","PEDALCYCLIST",2,2,0,1,1,0
"360","CALUMET HEIGHTS","2013","PEDESTRIAN",14,14,0,3,7,4
"361","CALUMET HEIGHTS","2013","Vehicle/Other",411,124,0,9,62,53
"362","CALUMET HEIGHTS","2014","PEDALCYCLIST",4,4,0,0,3,1
"363","CALUMET HEIGHTS","2014","PEDESTRIAN",11,11,1,2,4,5
"364","CALUMET HEIGHTS","2014","Vehicle/Other",395,144,2,15,62,67
"365","CALUMET HEIGHTS","2015","PEDALCYCLIST",3,3,0,0,1,2
"366","CALUMET HEIGHTS","2015","PEDESTRIAN",15,13,1,4,7,2
